12.2043 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015394B7BB50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015394B7BAF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015394B7B820>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015395EDF220>, multiSample=False, name='window1', numSamples=2, pos=(268, 132), screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.2045 	EXP 	window1: mouseVisible = True
12.2045 	EXP 	window1: backgroundImage = ''
12.2046 	EXP 	window1: backgroundFit = 'none'
12.2046 	EXP 	window1: mouseVisible = True
12.2047 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.2047 	EXP 	window1: recordFrameIntervals = False
12.3696 	EXP 	window1: recordFrameIntervals = True
12.5533 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
12.5534 	EXP 	window1: recordFrameIntervals = False
12.6701 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
16.5747 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0. ]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.5947 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
16.5949 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
16.6581 	EXP 	grating: ori = 10.0
16.6581 	EXP 	fixation: autoDraw = True
17.2169 	EXP 	grating: autoDraw = True
17.2169 	EXP 	grating: tex = 'sin'
17.2350 	EXP 	fixation: autoDraw = False
17.5192 	EXP 	grating: autoDraw = False
22.2868 	DATA 	Keypress: right
22.2991 	EXP 	fixation: autoDraw = False
22.2991 	EXP 	grating: autoDraw = False
22.2991 	EXP 	grating: ori = 10.0
22.2991 	EXP 	fixation: autoDraw = True
22.7852 	EXP 	grating: autoDraw = True
22.8021 	EXP 	fixation: autoDraw = False
23.1012 	EXP 	grating: autoDraw = False
23.6576 	DATA 	Keypress: right
23.6671 	EXP 	fixation: autoDraw = False
23.6671 	EXP 	grating: autoDraw = False
23.6671 	EXP 	grating: ori = 10.0
23.6671 	EXP 	fixation: autoDraw = True
